,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
159,Padang,100,ID,1563422680,82,-0.92,100.36,81.23,12.28
160,Sao Filipe,100,CV,1563422681,79,14.9,-24.5,73.49,5.32
161,Taksimo,93,RU,1563422682,52,56.36,114.84,75.65,6.24
162,Abakaliki,100,NG,1563422683,95,6.32,8.11,73.31,4.68
163,Lavrentiya,100,RU,1563422685,62,65.58,-170.99,60.53,4.09
164,Pasighat,0,IN,1563422686,59,28.06,95.33,85.55,1.74
165,Saint George,75,GR,1563422687,88,39.45,22.34,70.0,1.88
166,Katherine,87,AU,1563422688,20,-14.47,132.26,84.2,16.11
167,Dryden,75,CA,1563422689,93,49.79,-92.84,64.4,13.87
168,Meulaboh,67,ID,1563422690,79,4.14,96.13,81.95,9.19
169,Pathein,8,MM,1563422691,76,16.78,94.73,84.65,4.47
170,Morehead,75,US,1563422693,94,38.18,-83.43,73.99,8.05
171,Touros,20,BR,1563422694,100,-5.2,-35.46,71.6,4.7
172,Sharjah,100,AE,1563422695,67,25.36,55.39,93.2,6.93
173,Roald,92,NO,1563422461,93,62.58,6.12,55.4,2.24
174,Wasilla,1,US,1563422697,53,61.58,-149.44,73.4,14.99
175,Dublin,40,IE,1563422403,87,53.35,-6.26,57.0,10.29
176,Cherskiy,94,RU,1563422438,50,68.75,161.3,45.77,8.9
177,Bundaberg,0,AU,1563422700,21,-24.87,152.35,71.6,12.75
178,Pascagoula,0,US,1563422616,100,30.37,-88.56,84.2,3.8
179,Homer,1,US,1563422702,55,59.64,-151.54,71.01,12.75
180,Geraldton,90,CA,1563422704,68,49.72,-86.95,66.2,3.36
181,Ati,95,TD,1563422705,48,13.21,18.34,86.81,13.04
182,Nichinan,75,JP,1563422706,94,31.65,131.31,84.2,8.05
183,Pemba,0,MZ,1563422707,84,-12.97,40.52,70.79,13.11
184,Barao de Melgaco,0,BR,1563422708,65,-16.19,-55.97,77.0,4.7
185,Banda Aceh,82,ID,1563422709,73,5.56,95.32,83.93,16.28
186,Leningradskiy,98,RU,1563422710,91,69.38,178.42,37.31,9.91
187,Loviisa,0,FI,1563422441,87,60.46,26.23,62.01,6.93
188,Verkhnebakanskiy,20,RU,1563422713,94,44.84,37.66,68.0,8.95
189,Fort Nelson,75,CA,1563422714,68,58.81,-122.69,64.4,9.17
190,Walvis Bay,0,NA,1563422715,25,-22.95,14.51,66.2,2.24
191,Brezoi,0,RO,1563422716,87,45.34,24.24,52.0,4.7
192,Riberalta,42,BO,1563422717,75,-11.0,-66.08,74.03,1.43
193,Auki,100,NG,1563422719,80,12.18,6.51,75.83,10.71
194,Marawi,95,PH,1563422720,72,8.0,124.29,84.99,5.01
195,Namibe,0,AO,1563422424,76,-15.19,12.15,68.99,7.83
196,Igrim,83,RU,1563422722,90,63.19,64.42,63.05,3.0
197,Rio Gallegos,90,AR,1563422723,93,-51.62,-69.22,35.6,3.36
198,Suzuka,75,JP,1563422724,83,34.89,136.59,82.99,11.41
199,Hohhot,100,CN,1563422725,65,40.81,111.65,77.0,4.47
200,Suba,100,CN,1563422726,84,28.73,103.51,73.13,1.36
201,Rio Bonito,75,BR,1563422728,87,-22.71,-42.63,64.4,2.24
202,Sumbe,37,AO,1563422711,87,-11.2,13.84,69.35,3.06
203,Ilulissat,100,GL,1563422703,93,69.22,-51.1,44.6,1.12
204,Leiyang,70,CN,1563422731,63,26.42,112.85,92.03,3.8
205,Nicolas Bravo,90,MX,1563422732,40,24.39,-104.74,71.6,11.41
206,East London,0,ZA,1563422733,44,-33.02,27.91,59.0,8.05
207,Paamiut,100,GL,1563422734,95,61.99,-49.67,43.07,29.68
208,Kargil,0,PK,1563422711,36,34.56,76.13,54.77,2.01
209,Nemuro,75,JP,1563422737,88,43.32,145.57,69.8,13.87
210,Kandrian,43,PG,1563422738,85,-6.21,149.55,79.25,9.6
211,Broken Hill,75,AU,1563422739,58,-31.97,141.45,57.2,4.7
212,Mar del Plata,43,AR,1563422740,78,-46.43,-67.52,36.59,20.76
213,Lasa,40,CY,1563422741,78,34.92,32.53,77.0,9.17
214,Beloha,0,MG,1563422742,70,-25.17,45.06,61.07,5.86
215,Meaux,0,FR,1563422743,55,48.96,2.9,63.0,6.93
216,Ojinaga,40,US,1563422745,40,29.56,-104.41,86.0,14.99
217,Yulara,0,AU,1563422746,26,-25.24,130.99,69.8,8.05
218,Araripe,0,BR,1563422747,37,-7.21,-40.14,68.09,8.08
219,Abu Zabad,63,SD,1563422748,68,12.35,29.25,73.67,13.89
220,Havre-Saint-Pierre,20,CA,1563422749,54,50.23,-63.6,59.0,10.29
221,Port Lincoln,67,AU,1563422751,81,-34.72,135.86,56.93,26.82
222,Picota,20,PE,1563422752,290,-6.92,-76.33,62.6,3.36
223,Sinnamary,100,GF,1563422753,80,5.38,-52.96,81.95,10.65
224,Hami,100,CN,1563422754,43,42.84,93.51,79.25,4.52
225,Kindersley,75,CA,1563422755,82,51.47,-109.16,62.6,16.11
226,Bethel,90,US,1563422715,72,60.79,-161.76,60.8,11.41
227,Tazovskiy,95,RU,1563422663,71,67.47,78.7,58.19,6.98
228,Cachoeirinha,0,BR,1563422758,100,-29.95,-51.09,53.01,5.82
229,Barranca,100,PE,1563422759,87,-10.75,-77.76,61.61,17.09
230,Plettenberg Bay,57,ZA,1563422761,42,-34.05,23.37,57.47,4.43
231,Tuatapere,100,NZ,1563422762,80,-46.13,167.69,50.0,1.99
232,Vytegra,100,RU,1563422763,90,61.01,36.45,59.09,9.22
233,Wenling,46,CN,1563422764,70,28.38,121.38,93.0,7.25
234,Samana,0,EC,1563422765,96,0.12,-76.97,69.35,1.7
235,Sao Joao da Barra,23,BR,1563422534,87,-21.64,-41.05,58.91,3.76
236,Gubin,6,PL,1563422767,89,51.95,14.73,54.0,2.89
237,Atambua,100,ID,1563422769,66,-9.11,124.89,78.17,8.28
238,Kathu,0,ZA,1563422497,62,-27.7,23.05,37.99,6.46
239,Pacific Grove,75,US,1563422699,87,36.62,-121.92,69.01,4.7
240,Kamaishi,75,JP,1563422772,83,39.28,141.86,73.4,12.75
241,Nyurba,0,RU,1563422773,42,63.29,118.35,60.53,11.65
242,Great Yarmouth,100,GB,1563422774,87,52.61,1.73,62.01,5.82
243,Bambanglipuro,64,ID,1563422775,84,-7.95,110.28,75.47,18.7
244,Northam,75,AU,1563422776,77,-31.65,116.67,60.8,3.36
245,Penzance,100,GB,1563422778,93,50.12,-5.53,60.8,10.29
246,Saquena,28,PE,1563422779,98,-4.67,-73.52,72.05,1.54
247,Aktau,0,KZ,1563422780,48,43.65,51.16,86.0,20.13
248,Pontes e Lacerda,100,BR,1563422781,57,-15.23,-59.33,72.95,4.25
249,Waingapu,70,ID,1563422782,53,-9.65,120.26,81.59,15.1
250,The Valley,40,AI,1563422783,78,18.22,-63.06,82.4,10.29
251,Wattegama,100,LK,1563422784,93,7.35,80.68,74.75,5.61
252,Sitka,0,US,1563422736,52,37.17,-99.65,84.99,13.0
253,Phan Thiet,100,VN,1563422750,63,10.93,108.1,86.63,8.84
254,Tura,0,RU,1563422788,46,64.27,100.22,63.77,15.66
255,Bandarbeyla,92,SO,1563422789,56,9.49,50.81,78.89,30.27
256,Rio Branco,0,BR,1563422790,94,-9.98,-67.82,71.6,3.33
257,Bilma,17,NE,1563422791,23,18.69,12.92,92.03,13.98
258,Buraydah,0,SA,1563422792,41,26.33,43.97,78.8,8.05
259,Kirkuk,0,IQ,1563422793,25,35.47,44.4,81.95,4.5
260,Saskylakh,4,RU,1563422448,56,71.97,114.09,50.99,11.01
261,Caravelas,0,BR,1563422797,71,-17.73,-39.27,71.87,15.86
262,Baker City,90,US,1563422798,52,44.77,-117.83,77.0,12.75
263,Killybegs,100,IE,1563422799,91,54.63,-8.45,55.0,7.0
264,Panaba,100,MX,1563422523,74,21.28,-88.27,82.13,10.71
265,Kaeo,9,NZ,1563422801,100,-35.1,173.78,61.0,7.61
266,Samarai,97,PG,1563422802,80,-10.62,150.67,75.83,6.69
267,Santa Isabel,1,MX,1563422803,18,32.63,-115.58,98.6,17.22
268,Pedernales,20,EC,1563422804,89,0.07,-80.05,73.49,15.03
269,Sorrento,75,AU,1563422806,72,-31.82,115.75,64.99,8.05
270,Wajima,75,JP,1563422807,83,37.4,136.9,78.8,5.82
271,Beira,0,ES,1563422760,100,43.2,-8.36,60.01,2.24
272,Anadyr,40,RU,1563422809,82,64.73,177.51,60.8,9.71
273,Narsaq,100,GL,1563422810,71,60.91,-46.05,50.0,5.82
274,Beipiao,0,CN,1563422811,49,41.8,120.76,83.03,6.62
275,Clyde River,90,CA,1563422812,100,70.47,-68.59,35.6,8.05
276,Cap-Haitien,100,HT,1563422813,77,19.76,-72.2,82.49,20.71
277,Ekibastuz,99,KZ,1563422815,65,51.72,75.32,73.31,10.42
278,Taunggyi,92,MM,1563422817,80,20.78,97.03,78.35,1.83
279,Gamba,2,CN,1563422818,51,28.28,88.52,46.85,4.68
280,Druzhba,0,UA,1563422819,95,49.36,25.65,49.19,8.03
281,San Quintin,100,PH,1563422820,91,17.54,120.52,77.81,20.2
282,Ayotzintepec,82,MX,1563422821,90,17.67,-96.13,52.97,1.61
283,Marsa Matruh,0,EG,1563422822,83,31.35,27.25,73.4,5.82
284,Aksarka,68,RU,1563422824,75,66.56,67.8,70.43,12.39
285,Vallenar,23,CL,1563422825,84,-28.58,-70.76,47.57,1.54
286,Katsuura,75,JP,1563422826,88,33.93,134.5,82.0,16.11
287,Saint-Ambroise,5,CA,1563422827,71,48.56,-71.32,57.2,2.24
288,Praia da Vitoria,20,PT,1563422828,83,38.73,-27.07,71.6,10.69
289,Cairns,20,AU,1563422680,44,-16.92,145.77,77.0,16.11
290,Amahai,100,ID,1563422830,89,-3.31,129.0,77.45,13.0
291,Matamoros,1,US,1563422832,83,25.87,-97.51,84.2,9.17
292,Canton,1,US,1563422607,88,40.8,-81.38,73.4,4.74
293,Fairbanks,40,US,1563422572,49,64.84,-147.72,75.99,5.82
294,Marica,75,BR,1563422835,87,-22.92,-42.82,64.4,2.24
295,Oranjemund,0,ZA,1563422836,73,-28.55,16.43,55.67,5.12
296,San Rafael,0,AR,1563422837,39,-34.61,-68.33,52.97,11.25
297,Eyl,61,SO,1563422838,58,7.98,49.82,75.29,27.67
298,Mabaruma,34,GY,1563422839,99,8.2,-59.78,73.13,2.13
299,Kingman,1,US,1563422775,23,35.19,-114.05,102.2,9.17
300,Sortland,100,NO,1563422842,76,68.69,15.42,50.0,13.87
301,Tiznit,0,MA,1563422843,89,29.7,-9.73,66.11,18.57
302,San Juan,90,AR,1563422693,16,-31.54,-68.53,53.33,9.71
303,Lagoa,0,PT,1563422845,68,37.14,-8.45,69.8,6.93
304,Saint-Jerome,20,CA,1563422680,59,45.78,-74.0,72.0,2.24
305,Aguada de Pasajeros,100,CU,1563422847,86,22.38,-80.85,78.17,4.61
306,Baykit,0,RU,1563422848,55,61.68,96.39,73.67,12.44
307,Maceio,40,BR,1563422850,83,-9.67,-35.74,71.6,8.05
308,Ust-Kuyga,100,RU,1563422851,65,70.0,135.55,43.79,18.97
309,Provideniya,75,RU,1563422852,72,64.42,-173.23,59.0,17.9
310,Taree,0,AU,1563422853,32,-31.91,152.46,69.01,14.99
311,Half Moon Bay,5,US,1563422755,64,37.46,-122.43,73.99,6.93
312,Agbor,69,NG,1563422855,99,6.26,6.15,70.97,2.82
313,Sangmelima,100,CM,1563422856,99,2.93,11.98,67.91,3.36
314,Askino,37,RU,1563422858,72,56.09,56.58,63.59,5.48
315,Simpang,67,ID,1563422859,61,4.36,96.17,85.55,3.13
316,Puerto del Rosario,90,ES,1563422860,68,28.5,-13.86,69.8,20.8
317,Vardo,40,US,1563422311,94,39.62,-77.74,77.0,2.44
318,Kavaratti,90,IN,1563422794,88,10.57,72.64,80.6,23.04
319,General Pico,0,AR,1563422863,86,-35.66,-63.75,52.61,3.83
320,Vostok,24,RU,1563422864,82,46.45,135.83,72.05,9.1
321,Lufilufi,90,WS,1563422865,94,-13.87,-171.6,78.8,12.75
322,Tambo,98,PE,1563422867,82,-12.95,-74.02,44.15,3.11
323,Dasoguz,0,TM,1563422868,35,41.84,59.97,89.6,6.93
324,Pishin,0,PK,1563422869,42,30.58,67.0,80.33,3.74
325,Galesong,2,ID,1563422870,77,-5.32,119.37,79.97,17.16
326,Llangefni,93,GB,1563422871,82,53.26,-4.31,59.0,8.05
327,Nueva Granada,61,CO,1563422872,84,9.8,-74.39,76.01,3.69
328,Madingou,42,CG,1563422873,92,-4.17,13.56,69.71,3.67
329,Quatre Cocos,40,MU,1563422874,56,-20.21,57.76,71.6,17.22
330,Hervey Bay,0,AU,1563422876,21,-25.3,152.85,71.6,12.75
331,Ucluelet,1,CA,1563422663,88,48.94,-125.55,61.0,4.0
332,Soubre,69,CI,1563422878,98,5.79,-6.61,70.43,3.24
333,Cap Malheureux,40,MU,1563422879,56,-19.98,57.61,71.6,17.22
334,Omboue,85,GA,1563422880,89,-1.57,9.26,74.93,13.27
335,Trincomalee,100,LK,1563422881,64,8.58,81.23,85.19,9.82
336,Hudson Bay,100,CA,1563422882,93,52.86,-102.4,58.55,5.41
337,Palmer,75,AU,1563422884,76,-34.85,139.16,59.0,16.11
338,Lahij,72,YE,1563422885,59,13.06,44.88,85.19,4.65
339,Plastun,100,RU,1563422886,89,44.76,136.29,69.89,2.08
340,North Olmsted,1,US,1563422714,88,41.42,-81.92,75.99,8.52
341,Kudahuvadhoo,100,MV,1563422888,71,2.67,72.89,82.67,18.72
342,Mount Pleasant,1,US,1563422889,83,33.16,-94.97,84.99,5.84
343,Jasdan,1,IN,1563422890,83,22.04,71.2,89.01,10.27
344,Saint-Augustin,20,CA,1563422892,59,45.63,-73.98,72.0,2.24
345,Sola,80,TZ,1563422893,61,-3.17,33.8,65.21,8.72
346,Vila Franca do Campo,20,PT,1563422894,82,37.72,-25.43,64.4,4.7
347,Uwajima,75,JP,1563422895,94,33.22,132.57,77.0,11.41
348,Novokorsunskaya,0,RU,1563422896,77,45.64,39.14,73.99,4.47
349,Bonavista,100,CA,1563422897,82,48.65,-53.11,57.99,11.01
350,Riyadh,0,SA,1563422898,17,24.63,46.72,80.6,5.82
351,Nizhniy Kuranakh,62,RU,1563422900,58,58.84,125.49,72.77,7.2
352,Kindu,0,CD,1563422901,50,-2.95,25.92,69.53,3.04
353,Port Keats,81,AU,1563422902,25,-14.25,129.55,85.37,11.03
354,Nowa Sol,84,PL,1563422903,100,51.8,15.72,54.0,2.75
355,Guangyuan,14,CN,1563422904,80,32.43,105.86,80.01,3.78
356,Portland,1,US,1563422862,94,43.66,-70.25,73.99,4.7
357,Dundee,40,GB,1563422906,93,56.46,-2.97,55.4,11.41
358,Lamu,86,CN,1563422907,51,35.77,102.37,66.65,3.27
359,Carnarvon,58,ZA,1563422909,27,-30.97,22.13,44.69,5.95
360,Torbay,90,CA,1563422910,82,47.66,-52.73,62.01,13.87
361,Uyuni,83,BO,1563422911,35,-20.46,-66.82,39.29,5.66
362,Coquimbo,0,CL,1563422912,93,-29.95,-71.34,48.2,3.36
363,Phuket,40,TH,1563422793,88,7.89,98.4,87.8,3.36
364,Port Macquarie,0,AU,1563422914,32,-31.43,152.91,73.0,14.99
365,Kangaba,100,ML,1563422915,92,11.94,-8.41,73.31,2.86
366,Moron,9,HT,1563422916,80,18.56,-74.26,79.79,4.09
367,Tiarei,20,PF,1563422918,61,-17.53,-149.33,78.8,8.05
368,Severo-Yeniseyskiy,55,RU,1563422919,59,60.37,93.04,73.49,8.77
369,Fukue,75,JP,1563422920,83,35.03,136.69,82.99,11.41
370,Sibolga,97,ID,1563422467,76,1.74,98.78,81.41,5.75
371,Haian,100,CN,1563422922,69,32.53,120.46,88.0,7.87
